country,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
br,A impact my life,6.406406406406406,13.313313313313312,42.34234234234234,27.927927927927925,10.01001001001001
br,B issues I care about,3.807615230460922,5.511022044088176,30.761523046092183,47.29458917835671,12.625250501002002
br,C profit over truth,3.8,7.8,32.5,36.9,19.0
br,D written to manipulate,5.805805805805806,12.512512512512513,39.73973973973974,30.130130130130127,11.811811811811811
br,E interested in politics,14.014014014014014,13.913913913913914,35.33533533533533,24.124124124124123,12.612612612612612
br,F mainstream accurate,8.80880880880881,23.023023023023022,37.43743743743744,24.024024024024023,6.706706706706707
br,G biased against my views,5.110220440881764,11.723446893787576,48.296593186372746,23.74749498997996,11.122244488977955
br,H trust mainstream,13.026052104208416,23.847695390781563,35.87174348697395,20.34068136272545,6.913827655310621
br,I confident fact-check,3.7037037037037033,8.308308308308309,32.13213213213213,40.94094094094094,14.914914914914915
br,J distinguish fact/opinion,4.004004004004004,7.4074074074074066,32.63263263263263,41.14114114114114,14.814814814814813
br,K determine trustworthy,3.4000000000000004,10.4,32.800000000000004,41.9,11.5
br,L overwhelmed,5.7057057057057055,17.217217217217218,34.93493493493494,30.73073073073073,11.411411411411411
br,M too stressful,6.306306306306306,15.215215215215217,38.53853853853854,29.22922922922923,10.71071071071071
br,N excited new ways,3.807615230460922,7.214428857715431,38.77755511022044,37.97595190380761,12.224448897795591
br,O excited traditional ways,6.024096385542169,12.14859437751004,41.265060240963855,30.522088353413658,10.040160642570282
br,P hopeful view,11.033099297893681,23.470411233701103,35.70712136409227,22.768304914744235,7.021063189568706
in,A impact my life,4.509018036072145,10.721442885771543,37.87575150300601,33.06613226452906,13.827655310621243
in,B issues I care about,3.1031031031031033,7.307307307307307,33.83383383383383,38.53853853853854,17.217217217217218
in,C profit over truth,2.6,7.000000000000001,31.3,35.099999999999994,24.0
in,D written to manipulate,3.1031031031031033,7.707707707707708,36.83683683683684,34.234234234234236,18.11811811811812
in,E interested in politics,10.299999999999999,14.2,29.299999999999997,29.799999999999997,16.400000000000002
in,F mainstream accurate,4.804804804804805,13.713713713713712,37.13713713713714,30.23023023023023,14.114114114114114
in,G biased against my views,4.308617234468938,11.122244488977955,41.98396793587174,27.354709418837675,15.230460921843688
in,H trust mainstream,5.505505505505505,10.31031031031031,34.93493493493494,34.33433433433433,14.914914914914915
in,I confident fact-check,2.5025025025025025,7.4074074074074066,34.434434434434436,37.13713713713714,18.51851851851852
in,J distinguish fact/opinion,3.203203203203203,6.006006006006006,35.93593593593594,37.93793793793794,16.916916916916914
in,K determine trustworthy,3.006012024048096,7.214428857715431,32.965931863727455,39.278557114228455,17.535070140280563
in,L overwhelmed,4.504504504504505,8.708708708708707,36.03603603603604,33.033033033033036,17.71771771771772
in,M too stressful,3.7037037037037033,7.807807807807808,31.631631631631627,36.03603603603604,20.82082082082082
in,N excited new ways,3.203203203203203,5.005005005005005,34.034034034034036,38.83883883883884,18.91891891891892
in,O excited traditional ways,4.208416833667335,8.016032064128256,35.671342685370746,32.66533066132264,19.438877755511022
in,P hopeful view,5.005005005005005,10.01001001001001,35.73573573573574,33.33333333333333,15.915915915915916
kr,A impact my life,2.5,9.3,49.1,33.7,5.4
kr,B issues I care about,1.7000000000000002,4.8,27.0,54.800000000000004,11.700000000000001
kr,C profit over truth,3.8,12.5,39.1,34.0,10.6
kr,D written to manipulate,3.3000000000000003,18.2,43.0,28.799999999999997,6.7
kr,E interested in politics,7.014028056112225,11.422845691382765,37.27454909819639,34.168336673346694,10.120240480961924
kr,F mainstream accurate,6.7,23.3,49.1,18.4,2.5
kr,G biased against my views,4.604604604604605,21.52152152152152,52.95295295295295,17.71771771771772,3.203203203203203
kr,H trust mainstream,5.605605605605605,14.414414414414415,45.34534534534534,31.23123123123123,3.4034034034034035
kr,I confident fact-check,3.8,19.900000000000002,52.5,20.9,2.9000000000000004
kr,J distinguish fact/opinion,2.7027027027027026,19.21921921921922,48.44844844844845,25.825825825825827,3.8038038038038042
kr,K determine trustworthy,3.5035035035035036,17.81781781781782,49.74974974974975,25.525525525525527,3.4034034034034035
kr,L overwhelmed,3.3000000000000003,15.7,38.7,34.4,7.9
kr,M too stressful,2.8000000000000003,16.8,38.1,32.4,9.9
kr,N excited new ways,2.7,6.800000000000001,45.6,38.9,6.0
kr,O excited traditional ways,3.3000000000000003,14.299999999999999,49.9,26.6,5.8999999999999995
kr,P hopeful view,6.2,21.4,46.5,23.0,2.9000000000000004
ng,A impact my life,3.903903903903904,8.208208208208207,26.226226226226224,39.53953953953954,22.12212212212212
ng,B issues I care about,2.1,2.1,12.5,53.1,30.2
ng,C profit over truth,6.112224448897796,16.83366733466934,26.853707414829657,33.26653306613226,16.93386773547094
ng,D written to manipulate,13.3,27.6,24.2,22.6,12.3
ng,E interested in politics,7.707707707707708,11.611611611611613,21.72172172172172,35.73573573573574,23.223223223223226
ng,F mainstream accurate,4.3999999999999995,13.8,26.3,36.1,19.400000000000002
ng,G biased against my views,7.7,23.200000000000003,35.3,23.5,10.299999999999999
ng,H trust mainstream,3.4034034034034035,9.40940940940941,28.628628628628626,38.43843843843844,20.12012012012012
ng,I confident fact-check,1.8018018018018018,3.4034034034034035,17.51751751751752,49.14914914914915,28.128128128128125
ng,J distinguish fact/opinion,2.7027027027027026,4.3043043043043046,17.217217217217218,50.35035035035035,25.425425425425423
ng,K determine trustworthy,2.8028028028028027,5.7057057057057055,16.616616616616618,51.35135135135135,23.523523523523522
ng,L overwhelmed,4.8,12.4,24.6,38.6,19.6
ng,M too stressful,12.4,33.1,25.4,19.3,9.8
ng,N excited new ways,1.8018018018018018,2.5025025025025025,18.91891891891892,50.35035035035035,26.426426426426424
ng,O excited traditional ways,9.9,21.0,24.6,28.7,15.8
ng,P hopeful view,2.9000000000000004,8.3,17.2,43.8,27.800000000000004
uk,A impact my life,2.8000000000000003,12.4,39.7,40.2,4.9
uk,B issues I care about,1.0,6.800000000000001,26.8,54.2,11.200000000000001
uk,C profit over truth,0.8,6.6000000000000005,31.7,41.099999999999994,19.8
uk,D written to manipulate,1.1011011011011012,10.01001001001001,31.53153153153153,40.44044044044044,16.916916916916914
uk,E interested in politics,8.3,11.5,23.799999999999997,35.3,21.099999999999998
uk,F mainstream accurate,7.007007007007007,21.22122122122122,37.13713713713714,31.931931931931935,2.7027027027027026
uk,G biased against my views,1.9,22.6,45.5,21.0,9.0
uk,H trust mainstream,12.6,18.4,29.7,35.8,3.5000000000000004
uk,I confident fact-check,1.2,8.0,31.3,47.3,12.2
uk,J distinguish fact/opinion,1.0999999999999999,5.2,27.6,54.0,12.1
uk,K determine trustworthy,1.0,8.0,32.5,50.9,7.6
uk,L overwhelmed,4.7,18.8,27.6,36.9,12.0
uk,M too stressful,5.5,18.7,29.799999999999997,33.900000000000006,12.1
uk,N excited new ways,4.1041041041041035,14.614614614614615,48.348348348348345,27.627627627627625,5.305305305305305
uk,O excited traditional ways,2.1,13.4,44.800000000000004,30.599999999999998,9.1
uk,P hopeful view,24.0,40.6,23.1,10.0,2.3
us,A impact my life,3.3000000000000003,10.6,40.6,36.4,9.1
us,B issues I care about,1.9,5.5,25.5,50.2,16.900000000000002
us,C profit over truth,2.4,7.199999999999999,29.9,35.3,25.2
us,D written to manipulate,3.4000000000000004,10.8,37.3,30.5,18.0
us,E interested in politics,8.308308308308309,10.71071071071071,26.626626626626624,33.133133133133136,21.22122122122122
us,F mainstream accurate,14.514514514514515,20.62062062062062,37.23723723723724,23.423423423423422,4.2042042042042045
us,G biased against my views,3.4000000000000004,18.6,43.9,21.0,13.100000000000001
us,H trust mainstream,20.3,18.3,30.599999999999998,26.200000000000003,4.6
us,I confident fact-check,1.2,6.3,29.2,46.6,16.7
us,J distinguish fact/opinion,1.7999999999999998,4.7,31.3,45.5,16.7
us,K determine trustworthy,1.0999999999999999,7.9,32.800000000000004,47.699999999999996,10.5
us,L overwhelmed,4.0,14.6,30.0,34.9,16.5
us,M too stressful,4.3,17.0,32.5,33.5,12.7
us,N excited new ways,5.105105105105105,11.01101101101101,46.246246246246244,30.33033033033033,7.307307307307307
us,O excited traditional ways,3.6999999999999997,9.700000000000001,38.6,31.7,16.3
us,P hopeful view,19.400000000000002,28.4,32.2,15.8,4.2
